id,postcode,latitude,longitude
724828,NE9 7TD,54.92057856,-1.591101
724829,NE9 7TF,54.92075002,-1.588525655
724830,NE9 7TH,54.9232368,-1.590466221
724831,NE9 7TJ,54.92421318,-1.589535736
724832,NE9 7TL,54.92338556,-1.58927891
724833,NE9 7TN,54.9230589,-1.588581
724834,NE9 7TQ,54.92362381,-1.587981458
724835,NE9 7TR,54.92227262,-1.587027918
724836,NE9 7TS,54.92120524,-1.587616109
724837,NE9 7TT,54.92218768,-1.588028
724838,NE9 7TU,54.92042,-1.589137
724839,NE9 7TX,54.92225227,-1.588978402
724840,NE9 7TY,54.91674955,-1.590734854
724841,NE9 7UA,54.91427599,-1.587390527
724842,NE9 7UB,54.91306283,-1.584751158
724843,NE9 7UD,54.92007198,-1.589983496
724844,NE9 7UE,54.92669596,-1.566947191
724845,NE9 7UF,54.91621685,-1.551787353
724846,NE9 7UP,54.918452,-1.583695692
724847,NE9 7UQ,54.91532359,-1.553248032
724848,NE9 7US,54.92841359,-1.580114638
724849,NE9 7UT,54.92865621,-1.580112113
724850,NE9 7UU,54.92774184,-1.580761408
724851,NE9 7UX,54.92845796,-1.5825641
724852,NE9 7UY,54.92950947,-1.577387958
724853,NE9 7UZ,54.91427385,-1.558625756
724855,NE9 7XA,54.92303991,-1.5698729
724856,NE9 7XB,54.91851262,-1.564758
724857,NE9 7XD,54.92025499,-1.567577971
724858,NE9 7XE,54.92105812,-1.568521072
724859,NE9 7XF,54.92124179,-1.574744235
724860,NE9 7XG,54.92283527,-1.570452372
724861,NE9 7XH,54.92123096,-1.569112093
724862,NE9 7XJ,54.92101045,-1.570284578
724863,NE9 7XN,54.92165029,-1.573351354
724864,NE9 7XP,54.92212841,-1.573876772
724865,NE9 7XQ,54.92962531,-1.577105853
724866,NE9 7XR,54.91541032,-1.56477516
724867,NE9 7XS,54.920816,-1.573391
724868,NE9 7XT,54.91848422,-1.569983863
724869,NE9 7XU,54.91760787,-1.568667165
724870,NE9 7XW,54.924792,-1.567231728
724871,NE9 7XY,54.91699322,-1.567659723
724872,NE9 7YA,54.91746332,-1.565923046
724873,NE9 7YB,54.917717,-1.566295
724874,NE9 7YD,54.91866588,-1.565473287
724875,NE9 7YE,54.91631572,-1.566668586
724877,NE9 7YH,54.91596187,-1.565720799
724878,NE9 7YJ,54.91528139,-1.563902977
724879,NE9 7YL,54.91528016,-1.5635598
724880,NE9 7YN,54.91532139,-1.562529785
724881,NE9 7YP,54.9146677,-1.560680555
724882,NE9 7YT,54.9112812,-1.553651528
724883,NE9 7YX,54.92545,-1.559921755
724888,NE9 9AQ,54.9331616,-1.6105289
724899,NE92 1AA,54.94177481,-1.614988191
724900,NE92 1AB,54.94177481,-1.614988191
724901,NE92 1AD,54.94177481,-1.614988191
724902,NE92 1AE,54.94177481,-1.614988191
724903,NE92 1AF,54.94177481,-1.614988191
724904,NE92 1AG,54.94177481,-1.614988191
724905,NE92 1AH,54.94177481,-1.614988191
724906,NE92 1AJ,54.94177481,-1.614988191
724907,NE92 1AL,54.94177481,-1.614988191
724908,NE92 1AN,54.94177481,-1.614988191
724909,NE92 1AP,54.94177481,-1.614988191
724910,NE92 1AQ,54.94177481,-1.614988191
724911,NE92 1AR,54.94177481,-1.614988191
724912,NE92 1AS,54.94177481,-1.614988191
724913,NE92 1AT,54.94177481,-1.614988191
724914,NE92 1AU,54.94177481,-1.614988191
724915,NE92 1AW,54.94177481,-1.614988191
724918,NE92 1AZ,54.94177481,-1.614988191
724919,NE92 1BA,54.94177481,-1.614988191
724920,NE92 1BB,54.94177481,-1.614988191
724921,NE92 1BD,54.94177481,-1.614988191
724922,NE92 1BE,54.94177481,-1.614988191
724923,NE92 1BF,54.94177481,-1.614988191
724924,NE92 1BH,54.94177481,-1.614988191
724925,NE9 6TL,54.93373953,-1.589782137
724926,NE9 6TN,54.93352086,-1.588894787
724927,NE9 6TP,54.93431416,-1.589635831
724928,NE9 6TQ,54.93489043,-1.590161
724929,NE9 6TR,54.93537641,-1.590186885
724930,NE9 6TS,54.93540636,-1.591076196
724931,NE9 6TT,54.93363506,-1.590782023
724932,NE9 6TU,54.93246627,-1.593290866
724933,NE9 6TW,54.92421958,-1.602283289
724934,NE9 6TX,54.93276188,-1.595706857
724935,NE9 6TY,54.93324141,-1.59398534
724936,NE9 6TZ,54.92361575,-1.593598523
724937,NE9 6UA,54.93346,-1.594592
724938,NE9 6UB,54.93393125,-1.593354127
724939,NE9 6UD,54.92210724,-1.601976
724940,NE9 6UE,54.93137189,-1.596579104
724941,NE9 6UF,54.92607606,-1.601157127
724942,NE9 6UG,54.92445986,-1.598832646
724943,NE9 6UH,54.92539868,-1.600118395
724944,NE9 6UJ,54.92775311,-1.597395509
724945,NE9 6UL,54.92545675,-1.595936098
724946,NE9 6UN,54.92785758,-1.596380183
724947,NE9 6UP,54.92486861,-1.594584
724948,NE9 6UQ,54.92458142,-1.594697
724949,NE9 6UR,54.92876755,-1.597088895
724950,NE9 6US,54.92872896,-1.598852
724951,NE9 6UT,54.92300252,-1.595648626
724952,NE9 6UU,54.92359524,-1.595533467
724953,NE9 6UW,54.92441812,-1.59980045
724954,NE9 6UX,54.92448568,-1.595774189
724955,NE9 6UY,54.92437187,-1.596680305
724956,NE9 6UZ,54.92369543,-1.598653014
